id,vocabulary,pronunciation,meaning,note,examine
0,Reading 1,,,,
1,be qualified of,,đủ điều kiện,,
2,application,,đơn đăng ký,,
3,competitor,,đối thủ,,
4,preparation,,việc chuẩn bị,,
5,renovation,,cải tạo/sửa chữa,,
6,regulation,,quy định,,
7,reference,,tham khảo/tham chiếu,,
8,affordable,,(giá) phải chăng/vừa phải,,
9,economic crisis,,khủng hoảng kinh tế,,
10,critic,,nhà phê bình/người chỉ trích,,
11,inevitable,,không thể tránh khỏi,,
12,perform,,biểu diễn/thực hiện,,
13,exceed,,vượt quá,,
14,dispute,,tranh cãi/tranh luận,,
15,investor,,nhà đầu tư,,
16,appreciate,,trân trọng/đánh giá cao,,
17,conduct,,thực hiên/tiến hành,,
18,inform O of,,thông báo cho O về điều gì,,
19,representative,,người đại diện,,
20,estimated sales figures,,doanh thu ước tính,,
21,recommendation,,người giới thiệu/người tiến cử,,
22,praise,,khen ngợi,,
23,innovative strategies,,chiến lược đổi mưới,,
24,advanced,,cao cấp/tiên tiến,
25,Listening 1,,,,
26,railing,,lan can/rào chắn
